id,N,kf,rho_length_density
CC00223XX09_75900,732,32.256830601092894,-0.27003875158491325
CC00227XX13_76601,736,37.05978260869565,-0.15550651230976387
CC00227XX13_92100,734,35.01634877384196,-0.24764657320463246
CC00231XX09_77701,729,32.1920438957476,-0.26174342460563715
CC00236XX14_78700,733,34.69849931787176,-0.2717075912275159
CC00237XX15_79300,733,36.07094133697135,-0.2783649147867359
CC00238AN16_80300,733,35.656207366984994,-0.2577634335967825
CC00238BN16_80400,733,38.72851296043656,-0.2643861090175553
CC00244XX14_81200,732,34.18306010928962,-0.23346513590096302
CC00245AN15_82304,734,29.934604904632153,-0.24150002431155151
CC00245AN15_94300,733,33.69986357435198,-0.23561074879436664
CC00245BN15_82600,734,35.48228882833787,-0.22571286982501013
CC00245BN15_94400,733,33.56343792633015,-0.20549486402302125
CC00247XX17_82801,736,32.328804347826086,-0.2509578459029381
CC00248XX18_83000,736,34.06521739130435,-0.3040667201740485
CC00248XX18_92700,736,34.869565217391305,-0.1985386816152143
CC00250XX03_83700,731,31.19015047879617,-0.2527559654546523
CC00251XX04_83800,733,31.7462482946794,-0.20792006412130096
CC00252XX05_84000,732,35.513661202185794,-0.21625807914966194
CC00254XX07_84300,735,36.98231292517007,-0.24570407474318945
